,DateString,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Symbol,SwHL,Peak,Consol_Detected,Consol_LHS_Price,Consol_Len_Bars,Consol_Depth_Percent,Close_21_bar_ema,Close_50_bar_sma,Close_150_bar_sma,Close_200_bar_sma,RSL,RSL_NH,DayOfWeek,RS,RS_New_High,52_week_low,52_week_high,Stage 2
0,2023-03-23,37.20531,37.486874,36.292656,36.719856,3312319.0,122274930.0,37.82,0.0,DELL,0,0,False,0.0,0,0.0,36.71985626220703,,,,0.00929918,False,3,100,True,,,False
1,2023-03-24,36.53538,36.583927,35.739235,36.292656,4389280.5,158517070.0,37.38,0.0,DELL,-1,0,False,0.0,0,0.0,36.68101986971768,,,,0.0091394475,False,4,100,True,,,False
2,2023-03-27,36.690727,37.04511,36.53538,36.88491,3109384.8,114577070.0,37.99,0.0,DELL,0,0,False,0.0,0,0.0,36.69955538915208,,,,0.00927332,False,0,100,True,,,False
3,2023-03-28,36.77811,37.20531,36.46742,37.195602,4101234.8,151349730.0,38.31,0.0,DELL,0,0,False,0.0,0,0.0,36.744650573501175,,,,0.009366173,False,1,100,True,,,False
4,2023-03-29,37.76844,38.09855,37.516003,37.982037,3858839.8,145864860.0,39.12,0.0,DELL,0,0,False,0.0,0,0.0,36.85714021141708,,,,0.0094299475,False,2,100,True,,,False
5,2023-03-30,38.32186,38.787895,38.29273,38.700516,4263675.0,164486050.0,39.86,0.0,DELL,0,0,False,0.0,0,0.0,37.02471980556737,,,,0.009553725,False,3,100,True,,,False
6,2023-03-31,38.778187,39.215096,38.773335,39.040333,4033073.0,157116540.0,40.21,0.0,DELL,0,0,False,0.0,0,0.0,37.20795734998756,,,,0.009500459,False,4,100,True,,,False
7,2023-04-03,38.972366,39.95299,38.894695,39.778225,4898758.0,194161390.0,40.97,0.0,DELL,0,0,False,0.0,0,0.0,37.44161804044945,,,,0.009644352,False,0,100,True,,,False
8,2023-04-04,40.04037,40.14717,39.312187,39.681133,3861664.8,153012910.0,40.87,0.0,DELL,1,0,False,0.0,0,0.0,37.64521033406892,,,,0.009676909,False,1,100,True,,,False
9,2023-04-05,39.545204,39.93357,39.16655,39.61317,3137933.2,124085950.0,40.8,0.0,DELL,0,0,False,0.0,0,0.0,37.82411581495168,,,,0.009684472,False,2,100,True,,,False
10,2023-04-06,39.40928,39.603462,39.054893,39.05975,2251991.0,88481500.0,40.23,0.0,DELL,0,0,False,0.0,0,0.0,37.936446159344385,,,,0.009515118,False,3,100,True,,,False
11,2023-04-10,38.739353,40.23455,38.739353,40.224846,3574191.5,142668800.0,41.43,0.0,DELL,-1,0,False,0.0,0,0.0,38.144482498152215,,,,0.009789187,False,0,100,True,,,False
12,2023-04-11,40.215134,40.72486,40.195717,40.389896,2984627.8,120916540.0,41.6,0.0,DELL,0,0,False,0.0,0,0.0,38.34861103403131,,,,0.0098297605,False,1,100,True,,,False
13,2023-04-12,40.58408,40.768555,39.95299,40.652042,3624627.8,146879070.0,41.87,0.0,DELL,0,0,False,0.0,0,0.0,38.55801388447537,,,,0.009934639,False,2,100,True,,,False
14,2023-04-13,40.739426,41.521008,40.547188,41.409355,4544047.5,186745900.0,42.65,0.0,DELL,0,0,False,0.0,0,0.0,38.817226728029816,,,,0.009987255,False,3,100,True,,,False
15,2023-04-14,41.49674,42.45794,41.44819,42.021027,7330154.5,306897600.0,43.28,0.0,DELL,0,0,False,0.0,0,0.0,39.10848126287512,,,,0.010155795,False,4,100,True,,,False
16,2023-04-17,41.506447,42.71523,41.46761,42.652122,6519286.5,276679600.0,43.93,0.0,DELL,0,0,False,0.0,0,0.0,39.430630466028155,,,,0.0102743525,False,0,100,True,,,False
17,2023-04-18,42.953106,44.32209,42.91427,44.176453,9555711.0,418352060.0,45.5,0.0,DELL,1,1,False,0.0,0,0.0,39.86206884518184,,,,0.010632451,False,1,100,True,,,False
18,2023-04-19,43.176414,43.99198,42.545322,42.55503,7484768.0,322499780.0,43.83,0.0,DELL,0,0,False,0.0,0,0.0,40.10688357041566,,,,0.0102430675,False,2,100,True,,,False
19,2023-04-20,42.147247,42.302593,41.506447,41.6715,4623673.0,193563340.0,42.92,0.0,DELL,0,0,False,0.0,0,0.0,40.249121533074955,,,,0.010090465,False,3,100,True,,,False
20,2023-04-21,41.487026,41.8851,41.28314,41.855976,5051963.5,210171220.0,43.11,0.0,DELL,-1,0,False,0.0,0,0.0,40.39519922140781,,,,0.010125988,False,4,100,True,,,False
21,2023-04-24,41.816803,41.983288,41.488735,41.79722,2873839.8,119918690.0,42.68,0.0,DELL,1,0,False,0.0,0,0.0,40.52265550334836,,,,0.01010317,False,0,100,True,,,False
22,2023-04-25,41.71887,41.787422,40.837486,40.84728,2446560.0,100717610.0,41.71,0.0,DELL,0,0,False,0.0,0,0.0,40.55216669349585,,,,0.010032169,False,1,100,True,,,False
23,2023-04-26,40.88645,41.317352,40.60735,40.808105,2554321.0,104542184.0,41.67,0.0,DELL,-1,-1,False,0.0,0,0.0,40.57543385488259,,,,0.010061195,False,2,100,True,,,False
24,2023-04-27,40.959904,41.92453,40.925625,41.914734,3051660.8,126826210.0,42.8,0.0,DELL,0,0,False,0.0,0,0.0,40.69718840323133,,,,0.010135716,False,3,100,True,,,False
25,2023-04-28,42.01267,42.732464,41.929424,42.590466,3872482.5,164357800.0,43.49,0.0,DELL,0,0,False,0.0,0,0.0,40.86930450708796,,,,0.010214815,False,4,100,True,,,False
26,2023-05-01,42.590466,43.19666,42.487633,42.913635,4611588.0,197648020.0,43.82,0.0,DELL,0,0,False,0.0,0,0.0,41.05515275679871,,,,0.010296298,False,0,100,True,,,False
27,2023-05-02,44.07902,44.705788,42.972397,43.834194,6921123.0,303474020.0,44.76,0.0,DELL,0,0,False,0.0,0,0.0,41.30779288648516,,,,0.010640452,False,1,100,True,,,False
28,2023-05-03,44.118195,44.79882,43.86847,44.22592,5233101.0,231689840.0,45.16,0.0,DELL,1,0,False,0.0,0,0.0,41.573077317791906,,,,0.010811201,False,2,100,True,,,False
